Product Name,Reviews,Aspects,Sentiment
"Arni 3 in 1 Large Sink Set Dish Rack Drainer with Tray for Kitchen,Dish Rack Organizers, Plastic Kitchen Rack Dish Drainer Kitchen Rack (Plastic) Dish Drainer Kitchen Rack  (Plastic)","Sink side dish rack drainer  I found the produce, dish rack drainer very handy, no mess around with usual water spill. Leaves the place dry. I would strongly recommend to buy this product.",product,Negative
"Arni 3 in 1 Large Sink Set Dish Rack Drainer with Tray for Kitchen,Dish Rack Organizers, Plastic Kitchen Rack Dish Drainer Kitchen Rack (Plastic) Dish Drainer Kitchen Rack  (Plastic)",Compact dish rack drainer  Quality and compact drainer for small family... Thank you Snapdeal team...,"deal, quality",Positive
"Arni 3 in 1 Large Sink Set Dish Rack Drainer with Tray for Kitchen,Dish Rack Organizers, Plastic Kitchen Rack Dish Drainer Kitchen Rack (Plastic) Dish Drainer Kitchen Rack  (Plastic)","Small but useful.  Although somewhat small in size, but still it will solve the purpose. Moreover, it's made with good quality material & nice manufacturing design.","design, size, material, useful, quality",Positive
"Arni 3 in 1 Large Sink Set Dish Rack Drainer with Tray for Kitchen,Dish Rack Organizers, Plastic Kitchen Rack Dish Drainer Kitchen Rack (Plastic) Dish Drainer Kitchen Rack  (Plastic)",snapdeal  Good product worth buying,"deal, product, worth",Positive
"Arni 3 in 1 Large Sink Set Dish Rack Drainer with Tray for Kitchen,Dish Rack Organizers, Plastic Kitchen Rack Dish Drainer Kitchen Rack (Plastic) Dish Drainer Kitchen Rack  (Plastic)",dish rack drainer  It's good for a small family.,None,Positive
"Arni 3 in 1 Large Sink Set Dish Rack Drainer with Tray for Kitchen,Dish Rack Organizers, Plastic Kitchen Rack Dish Drainer Kitchen Rack (Plastic) Dish Drainer Kitchen Rack  (Plastic)",Arni 3 in one  Very good product 👍,product,Positive
"Arni 3 in 1 Large Sink Set Dish Rack Drainer with Tray for Kitchen,Dish Rack Organizers, Plastic Kitchen Rack Dish Drainer Kitchen Rack (Plastic) Dish Drainer Kitchen Rack  (Plastic)",Good sturdy  Like it good quality and looks good too.,"look, quality",Positive
"Arni 3 in 1 Large Sink Set Dish Rack Drainer with Tray for Kitchen,Dish Rack Organizers, Plastic Kitchen Rack Dish Drainer Kitchen Rack (Plastic) Dish Drainer Kitchen Rack  (Plastic)",Excellent 👌  This product is excellent 👌 quality is also good.,"product, quality",Positive
"Arni 3 in 1 Large Sink Set Dish Rack Drainer with Tray for Kitchen,Dish Rack Organizers, Plastic Kitchen Rack Dish Drainer Kitchen Rack (Plastic) Dish Drainer Kitchen Rack  (Plastic)",Dish rack drainer  Fully satisfied with the product. Good quality.,"satisf, product, quality",Positive
"Arni 3 in 1 Large Sink Set Dish Rack Drainer with Tray for Kitchen,Dish Rack Organizers, Plastic Kitchen Rack Dish Drainer Kitchen Rack (Plastic) Dish Drainer Kitchen Rack  (Plastic)",Everything fine  I like the product,product,Positive
"Nut Toppers Arabian Dates, 800 g (400g x 2)","Oct 13, 2022Thank You So Much Snapdeal ❤️❤️❤️😍😍😍Product Quality Very Good","deal, product, quality",Positive
"Nut Toppers Arabian Dates, 800 g (400g x 2)",Bad doesn't eat Worrest quality product,"product, quality",Negative
"Nut Toppers Arabian Dates, 800 g (400g x 2)",Quality is very worst.  Dates is poor quality.,quality,Negative
"Nut Toppers Arabian Dates, 800 g (400g x 2)","Poor quality of dates  Quality of the dates are not expected, expensive when it compares to quality of the product.","product, quality",Negative
"Nut Toppers Arabian Dates, 800 g (400g x 2)",Poor quality  Sub standard items Ican not like your product Remember want good product,"product, item, quality",Negative
"Nut Toppers Arabian Dates, 800 g (400g x 2)",Dates  Very Bad quality is worse,quality,Negative
"Nut Toppers Arabian Dates, 800 g (400g x 2)",Bad doesn't eat  Worrest quality product,"product, quality",Negative
"Nut Toppers Arabian Dates, 800 g (400g x 2)",Tasty  Good .but shoul not increase price,price,Negative
"Nut Toppers Arabian Dates, 800 g (400g x 2)",Thank You So Much Snapdeal ❤️❤️❤️😍😍😍 Product Quality Very Good,"deal, product, quality",Positive
"Nut Toppers Arabian Dates, 800 g (400g x 2)",Bad smells  Poor quality,quality,Negative
DAKADU Pack of 18 Adhesive Hooks for Walls Heavy Duty Utility Hook Transparent Reusable No Drill Wall Hangers for Key Holder Calendars Photo Frame Cloth Decoration Kitchen Tools Bathroom,"Best adhesive hooks quality is good  Isn't best for bathroom, kitchen...",quality,Positive
DAKADU Pack of 18 Adhesive Hooks for Walls Heavy Duty Utility Hook Transparent Reusable No Drill Wall Hangers for Key Holder Calendars Photo Frame Cloth Decoration Kitchen Tools Bathroom,BEST PRODUCT  BEST PRODUCT,product,Positive
DAKADU Pack of 18 Adhesive Hooks for Walls Heavy Duty Utility Hook Transparent Reusable No Drill Wall Hangers for Key Holder Calendars Photo Frame Cloth Decoration Kitchen Tools Bathroom,Sandar  Good itam thanks,None,Positive
DAKADU Pack of 18 Adhesive Hooks for Walls Heavy Duty Utility Hook Transparent Reusable No Drill Wall Hangers for Key Holder Calendars Photo Frame Cloth Decoration Kitchen Tools Bathroom,Good quality  Great hoocks but little bit expensive,quality,Positive
DAKADU Pack of 18 Adhesive Hooks for Walls Heavy Duty Utility Hook Transparent Reusable No Drill Wall Hangers for Key Holder Calendars Photo Frame Cloth Decoration Kitchen Tools Bathroom,Excellent  Valuable money to good,None,Positive
DAKADU Pack of 18 Adhesive Hooks for Walls Heavy Duty Utility Hook Transparent Reusable No Drill Wall Hangers for Key Holder Calendars Photo Frame Cloth Decoration Kitchen Tools Bathroom,Thanks  Awesome ❤️,None,Positive
DAKADU Pack of 18 Adhesive Hooks for Walls Heavy Duty Utility Hook Transparent Reusable No Drill Wall Hangers for Key Holder Calendars Photo Frame Cloth Decoration Kitchen Tools Bathroom,"Useful thing  My guess is right,really it is very good 👍",useful,Positive
DAKADU Pack of 18 Adhesive Hooks for Walls Heavy Duty Utility Hook Transparent Reusable No Drill Wall Hangers for Key Holder Calendars Photo Frame Cloth Decoration Kitchen Tools Bathroom,Dakadu  Useful house hold product.,"useful, product",Positive
DAKADU Pack of 18 Adhesive Hooks for Walls Heavy Duty Utility Hook Transparent Reusable No Drill Wall Hangers for Key Holder Calendars Photo Frame Cloth Decoration Kitchen Tools Bathroom,Product is very poor bcoz huook are not hanging weight.  Product is very poor. Bad quality.,"product, weight, quality",Negative
DAKADU Pack of 18 Adhesive Hooks for Walls Heavy Duty Utility Hook Transparent Reusable No Drill Wall Hangers for Key Holder Calendars Photo Frame Cloth Decoration Kitchen Tools Bathroom,Very good  Very very nice,None,Positive
Leakage Repair Waterproof Tape for Pipe Leakage Roof Water Leakage Solution Alum - Silver Single Sided Duct Tape ( Pack of 1 ),Unsuccessful repair leaks..  Cannot open the tape roll to paste damaged area.Bad quality purpose not served..,quality,Negative
Leakage Repair Waterproof Tape for Pipe Leakage Roof Water Leakage Solution Alum - Silver Single Sided Duct Tape ( Pack of 1 ),quality  unproffesional and it wasnt waterproff at all,quality,Neutral
Leakage Repair Waterproof Tape for Pipe Leakage Roof Water Leakage Solution Alum - Silver Single Sided Duct Tape ( Pack of 1 ),Very very poor quality  Not working in proper form very bad,quality,Negative
Leakage Repair Waterproof Tape for Pipe Leakage Roof Water Leakage Solution Alum - Silver Single Sided Duct Tape ( Pack of 1 ),Very poor quality  Very bad quality,quality,Negative
Leakage Repair Waterproof Tape for Pipe Leakage Roof Water Leakage Solution Alum - Silver Single Sided Duct Tape ( Pack of 1 ),No quality  I'm not happy with this no quality,quality,Negative
Leakage Repair Waterproof Tape for Pipe Leakage Roof Water Leakage Solution Alum - Silver Single Sided Duct Tape ( Pack of 1 ),It's OK It's perfect for for stop leakage,None,Positive
Leakage Repair Waterproof Tape for Pipe Leakage Roof Water Leakage Solution Alum - Silver Single Sided Duct Tape ( Pack of 1 ),"Poor quality  Not aure seems to be old, gum not at all working. Not sticking to any of the surface.",quality,Negative
Leakage Repair Waterproof Tape for Pipe Leakage Roof Water Leakage Solution Alum - Silver Single Sided Duct Tape ( Pack of 1 ),Not good product This is not at all use for my leakage ceiling.i have put the layers of this waterproof tapes but it did not remain for 15 mins.that whole tapes came o read more,product,Negative
Leakage Repair Waterproof Tape for Pipe Leakage Roof Water Leakage Solution Alum - Silver Single Sided Duct Tape ( Pack of 1 ),Bad quality  Very bad quality,quality,Negative
Leakage Repair Waterproof Tape for Pipe Leakage Roof Water Leakage Solution Alum - Silver Single Sided Duct Tape ( Pack of 1 ),"Weast of this product  Don't buy this product,,,,,",product,Neutral
Ezzi Deals 360 Degree Rotating Magic Bucket Spin Mop Set  (Color as per availability),Ezzi mop as the name itself suggests!!  As the name itself suggests it is seriously very easy to assemble and use it too. It is very user friendly. It is light in weight and also we can remove the excess water easily by spinning the mop. It is very reasonably priced too. Keep rocking Snapdeal!! I have had a great experience shopping at Snapdeal as always.,"easy, deal, price, weight",Positive
Ezzi Deals 360 Degree Rotating Magic Bucket Spin Mop Set  (Color as per availability),Ezzi Deals 360 Degree Rotating Magic Bucket Mop  Great Buy!!! Value for money. Easy to use,"deal, easy",Positive
Ezzi Deals 360 Degree Rotating Magic Bucket Spin Mop Set  (Color as per availability),"Mar 22, 2016Excellent Productvery useful and makes my work easier. Good product .","useful, product",Positive
Ezzi Deals 360 Degree Rotating Magic Bucket Spin Mop Set  (Color as per availability),Excellent Product  very useful and makes my work easier. Good product .,"useful, product",Positive
Ezzi Deals 360 Degree Rotating Magic Bucket Spin Mop Set  (Color as per availability),Awesome product  It save time cleans floor very well and thus is a good product,product,Positive
Ezzi Deals 360 Degree Rotating Magic Bucket Spin Mop Set  (Color as per availability),Very nice product  Very nice product.. I m satisfied with this product.,"satisf, product",Positive
Ezzi Deals 360 Degree Rotating Magic Bucket Spin Mop Set  (Color as per availability),360 degree rotating magic bucket mop  I like this product vry much n specially snapdeal service its replacement process is so easy n awesome.. And delivery is vry fast,"delivery, deal, service, product, easy",Positive
Ezzi Deals 360 Degree Rotating Magic Bucket Spin Mop Set  (Color as per availability),Excellent service  Good qualities and timeline delivery excellent service centre costumer,"service, delivery",Positive
Ezzi Deals 360 Degree Rotating Magic Bucket Spin Mop Set  (Color as per availability),"All round saviour  It is light and easy to use, Easily slides in all nook and corner and gives you an effortless experience",easy,Positive
